"news.sunnyusenet.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.supernews.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.surfino.com","IPv4-only","TLSv1.2","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"news.thundernews.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.thundernews.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.tweakdsl.nl","IPv4-only","TLSv1","NOK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"news.tweaknews.eu","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.tweaknews.nl","IPv4-only","TLSv1.2","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"news.tweak.nl","IPv4-only","TLSv1","NOK","NOK","NOK","ssl.SSLError","SSLError: ('The read operation timed out',)"
"news.united-newsserver.de","IPv4-only","TLSv1","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"news.usebits.net","IPv4-only","TLSv1.2","OK","OK","NOK","socket.error","error: [Errno 104] Connection reset by peer"
"news.usenet2go.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.usenet4u.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.usenet4u.nl' doesn't match 'news4.usenet4u.nl'"
"news.usenetcentral.com","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.usenetcentral.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.usenet.farm","IPv4-IPv6","TLSv1.2","OK","OK","OK","-","-"
"news.usenetmonster.com","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.usenetmonster.com' doesn't match either of '*.newshosting.com', 'newshosting.com'"
"news.usenet.net","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.usenetnewsserver.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.usenetnewsserver.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.usenet.pro","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.usenet.pro' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.usenetrocket.com","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.usenetrocket.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.usenet.se","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.usenet.se' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.usenetserver.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.usenext.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.usenext.de","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.voordeligusenet.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'news.voordeligusenet.nl' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"news.xennanews.com","IPv4-IPv6","TLSv1.2","OK","OK","OK","-","-"
"news.xennews.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.xlned.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.yabnews.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.z51.biz","IPv4-only","TLSv1.2","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"post.sonic-news.com","IPv4-only","TLSv1","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"reader.123usenet.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.123usenet.nl' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"reader.astinews.de","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.astinews.de' doesn't match either of 'news.yabnews.nl', 'www.news.yabnews.nl'"
"reader.easyusenet.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"reader.extremeusenet.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.extremeusenet.nl' doesn't match either of 'www.news.extremeusenet.nl', 'news.extremeusenet.nl'"
"reader.i-telligent.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"reader.mijnusenet.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.mijnusenet.nl' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"reader.newsconnection.eu","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.newsconnection.eu' doesn't match either of 'reader.newsconnection.nl', 'www.reader.newsconnection.nl'"
"reader.newsconnection.nl","IPv4-only","TLSv1.2","OK","OK","NOK","socket.error","error: [Errno 104] Connection reset by peer"
"reader.newsxs.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"reader.powernews.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.powernews.nl' doesn't match either of '*.easyusenet.nl', 'easyusenet.nl'"
"reader.snelnl.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.snelnl.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"reader.ssl-news.info","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"reader.usenetbucket.com","IPv4-only","TLSv1.2","OK","OK","NOK","socket.error","error: [Errno 104] Connection reset by peer"
"reader.usenetdiscounter.com","IPv4-IPv6","TLSv1.2","OK","OK","OK","-","-"
"reader.usenet.pro","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.usenet.pro' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"reader.usenetxl.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.usenetxl.nl' doesn't match either of 'news.yabnews.nl', 'www.news.yabnews.nl'"
"reader.voordeligusenet.nl","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.voordeligusenet.nl' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"reader.wondernews.eu","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'reader.wondernews.eu' doesn't match either of 'news.yabnews.nl', 'www.news.yabnews.nl'"
"reader.xsnews.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"reader.xsusenet.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"ssl.altbinaries.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'ssl.altbinaries.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"ssl.astraweb.com","IPv4-only","TLSv1","OK","OK","OK","-","-"
"ssl-eu.astraweb.com","IPv4-only","TLSv1","OK","OK","OK","-","-"
"ssl.hitnews.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"ssl.newsfusion.net","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'ssl.newsfusion.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"ssl.thenewsgroups.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'ssl.thenewsgroups.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"ssl-us.astraweb.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"ssl.usenet-access.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'ssl.usenet-access.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"ssl.usenet-news.net","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'ssl.usenet-news.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"ssl.usenet.se","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'ssl.usenet.se' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"ssl.xennews.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"tele2news.tweaknews.nl","IPv4-only","TLSv1.2","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"us.bintube.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"usenet.argeweb.nl","IPv4-only","TLSv1.2","OK","NOK","NOK","ssl.SSLError","SSLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:590)"
"us.hitnews.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"usnews.blocknews.net","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"us.newsdemon.com","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.newsdemon.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"us.newsfusion.net","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.newsfusion.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"us.newsgroupdirect.com","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.newsgroupdirect.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"us.newsleecher.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.newsleecher.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"us.ngroups.net","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.ngroups.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"us.secretusenet.com","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.secretusenet.com' doesn't match either of 'us.speeduse.net', 'www.us.speeduse.net'"
"us.ssl-news.info","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.ssl-news.info' doesn't match either of 'reader.ssl-news.info', 'www.reader.ssl-news.info'"
"us.thundernews.com","IPv4-IPv6","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.thundernews.com' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"us.usenet-news.net","IPv4-only","TLSv1.2","OK","OK","NOK","ssl.CertificateError","CertificateError: hostname 'us.usenet-news.net' doesn't match either of '*.sslusenet.com', 'sslusenet.com'"
"us.xennews.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"www.news.extremeusenet.nl","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
